block_id,hash,time,size,weight,version,lock_time,is_coinbase,has_witness,input_count,output_count,input_total,input_total_usd,output_total,output_total_usd,fee,fee_usd,fee_per_kb,fee_per_kb_usd,fee_per_kwu,fee_per_kwu_usd,cdd_total
37566,b8c61cf0dacaf1a14dc5473c1faefe2cf0e1e3d7a040a90c715176be94020051,2010-02-01 09:25:03,135,540,1,0,1,0,1,1,0,0,5000000000,0.5,0,0,0,0,0,0,0
37567,36d13801f568d00083305a9f4203a2c7913acc6541d9c0453b858364bd56c1a2,2010-02-01 09:42:40,135,540,1,0,1,0,1,1,0,0,5000000000,0.5,0,0,0,0,0,0,0
37568,d63abee3d31119070b427b2efe84c7291b247dd5c213f73d26b24f29e309e2f2,2010-02-01 09:44:07,135,540,1,0,1,0,1,1,0,0,5000000000,0.5,0,0,0,0,0,0,0
37569,eef7a5428c8126da525d71ea2a529f77cd80475994504672d5669438a4fc257f,2010-02-01 09:50:09,134,536,1,0,1,0,1,1,0,0,5000000000,0.5,0,0,0,0,0,0,0
37570,c082c2d46aafea0703e07bd12b9593a169753e2a8de738d9037b4bc1a3e48b69,2010-02-01 10:00:35,134,536,1,0,1,0,1,1,0,0,5000000000,0.5,0,0,0,0,0,0,0
37571,d6e006ccc77f957155213bbaa6ed59ca7a68c5e78077955c26ecd9824ffb9bd5,2010-02-01 10:05:46,135,540,1,0,1,0,1,1,0,0,5000000000,0.5,0,0,0,0,0,0,0
37572,28e49fd24691ccbcf4cb3cb74fea51a7f15ef6f7a7ad9cff0871eacfac07c65f,2010-02-01 10:14:30,135,540,1,0,1,0,1,1,0,0,5000000000,0.5,0,0,0,0,0,0,0
37573,ca927c2c6c17619b3320bbccee5018763003b9a1712fec94f90ff5dbf0b5cbe1,2010-02-01 10:26:20,135,540,1,0,1,0,1,1,0,0,5000000000,0.5,0,0,0,0,0,0,0
37574,39615587a9fe3c02b903f1f65c8939d7102f40a269d003c43757fca62afc60bc,2010-02-01 10:36:57,135,540,1,0,1,0,1,1,0,0,5000000000,0.5,0,0,0,0,0,0,0
37575,d2f4a9fc167261bf5761f8a50d676886b136eee9ffdcdfe111f287760c004ec6,2010-02-01 10:39:25,134,536,1,0,1,0,1,1,0,0,5000000000,0.5,0,0,0,0,0,0,0
37576,9d59111e56e7c0f225912b8d13dfc51aeb13c0516e69d55a7cd75872f0aeca39,2010-02-01 10:40:24,134,536,1,0,1,0,1,1,0,0,5000000000,0.5,0,0,0,0,0,0,0
37577,e41c7526552a062e2fb1bfec0e9161a4f4ec268ce66364d840f44723a18b3cdf,2010-02-01 10:57:03,135,540,1,0,1,0,1,1,0,0,5000000000,0.5,0,0,0,0,0,0,0
37578,ee8282c61add74b1ea9c3d3e60738a41fb2699ccc3191f5f80eb6f1cfe0efca7,2010-02-01 11:04:36,135,540,1,0,1,0,1,1,0,0,5000000000,0.5,0,0,0,0,0,0,0
