block_id,transaction_hash,index,time,value,value_usd,recipient,type,script_hex,is_from_coinbase,is_spendable
38104,0e09dbe60dad9544ea7f106ed25708be7b71c3d0687552f8e56a2fc016e43d08,0,2010-02-04 01:05:34,5000000000,0.5,1ACYhrj1YkFfZ1CF1HAEiQ6ztC2ZXpcdsf,pubkey,4104c6c41c2c1e5b5e8259528e804ccc19408dd3bab14f0d021f91456cd6aca82b2a05297d42d2dfde7c664047e246338cf6d3abc2f0a3193be7f49530ddc9fc336cac,1,1
38105,6a0b04175568648cb38d88e3ba66a037c6ed12f9f9fd883b7e4c2ae53aeb5f97,0,2010-02-04 01:21:30,5000000000,0.5,1C1cc2XS7UqZR5BYgdiqPdVBBKLhAmgK8w,pubkey,41049fb5717e2359d1c5f6d0ace293046fe2ceb0c8d0d43f8f7c600063de1c8e47d60d951cacde24d31f85cd7ada7d6a2140cecd550c1c70a93dd92aa929059d5a5cac,1,1
38106,f4dd1c686abd3881df7f751d0c424616fed219fcdb3a1f475b527873ce240696,0,2010-02-04 01:30:41,5000000000,0.5,1BvCA5xUJynbNguM6sVWFjdgDmDtBzZn3p,pubkey,4104ef8713b804802749a39b610a26a2f65f1c22d28c5ff24c8fa41efb80297d14a1a7f4886f801740004529ee4a378b3fa56e91966d46b9603353466fa719f8a37bac,1,1
38107,39aafc7937956964461784ecc2f628ce73ed85f810662f5329cbac1910cf889c,0,2010-02-04 01:36:55,5000000000,0.5,17B5ECmm34RMhzQp7uoayTzNC14tXm33bY,pubkey,4104e31c8a460f14ef66693636000490ccbf02d455cab9c132a8ce3da7c593f010f9bd00ac92c20a5fb2fb7c824cb86a3f4c07363ac8ee6860b7f550c3bb0597d00fac,1,1
38108,1af1cbe46aa1d5500e6bddd1456ce2a12071dec692593720bba71626f806c496,0,2010-02-04 02:03:35,5000000000,0.5,15if5E6VnShJhXBHoadnNv8SR48uDrPY5o,pubkey,4104988e8f77efe16061961cc21f73a20a9eafb2d2fd3a2e792960ed100a9f6a64c6906aeaacc17c5599c6c57e718375aee2ec404055b5f4475f11f45e11a6ade87cac,1,1
38109,47276855ce7bdc28a889eca270ff0be061daa6617c044ca86ff20e65c123341c,0,2010-02-04 02:07:50,5000000000,0.5,14VEuwZZ1gReB6hWrcDX8icGWRQh1Ys2dk,pubkey,4104794b66575c714a727f8f631199f2cb213c5df4b7d295b8fd04d78a242a987841495fbe77c7233a0258268280523cf696605f1a3870ed234ed234f4331c966f0eac,1,1
38110,93230cf5028f40454cdff95d07f4932278b85e6a2a301a10b266f3bc02922b66,0,2010-02-04 02:19:33,5000000000,0.5,1D9J4fjH7rWKaiothm2rVrnibiytafq267,pubkey,4104310e5605e71204cb9db752a21063d80b46ceff14fee674b622416aa357e280b3e683e2fcfe9dbb631caa37d13268b02998a946c80442a6176245fc550fb904a4ac,1,1
38111,ef42e6044f428b23b0c1bec5bca531564aac3a7e48eec9e7011f2f6a70fd16c1,0,2010-02-04 02:42:43,5000000000,0.5,1LPGoa6ntKGMeoZLwUCFFBcFnsDGkWmwF2,pubkey,4104ac13e1a6fc3e09ac807f45093dc70f03a77f340b2e35f5563995e829d3b5046656c086a79bc373ee109bb19c5a79969ee10b6d584a80646ff12ec78e18017dd9ac,1,1
38112,43b2a3c5643a8cf304fd05734ca12f5ba55bf4c5a6a368893f2985b9ed829a36,0,2010-02-04 02:43:36,5000000000,0.5,1JGABkM1aEtqQkvkBbWbuogpDPEpPvB652,pubkey,41043c715a3ef8313277ae9ddf07b7c748b764b4553715a8c6da0a522bb4263c564fa3db2b74fc341ea9aa755402546d44eac22e97120f229391a5fa9919b8386dc5ac,1,1
38113,5d43adae2d157c3e11cfacdcef706d64ddb291fe78131ad50582b170ca3446c0,0,2010-02-04 02:48:03,5000000000,0.5,19Fp4XYHGUwjaKMboMzhiqKFfbP3Q2CuGy,pubkey,4104b82339b9ff482418a961d91a5c3a97f30a92c0bfeb3173b3ac3154c8b9c3e0ef9b8046990612191a94311a5fb2b1d84ce43aaf5ff7920eca99c1739c6eef73f7ac,1,1
38114,fc149314adb29a798e0a40ea59ff21e1f05acc5a0743b09d809d3eeeb3cbbc25,0,2010-02-04 02:53:26,5000000000,0.5,1LSPG3t5visz7AVhLqTNMPWUxhEbAGKxjg,pubkey,4104faba77820103cc983fc8b31b9e1e40367a7df2b9726324c7eb2eb42c626a811b54b6ce7cce5d2f167270536f62a0c5994352fc9add53eb569d27132ee1034f6eac,1,1
38115,989a898f1237970efd4954291b98891f315c51291f9b6a68ad225b5f87151811,0,2010-02-04 03:07:31,5000000000,0.5,1NMZdnwK8bMe6kVDC44u7SitNaNSqs7YsY,pubkey,4104d0e7bfeb51da43b429972dfc7d09e2fc20f84dd778d53b34ded3c2190361983de284a43430848f9b1cb602e988906610f70b4891015bb0aa16522ea4da1ea167ac,1,1
38116,b54f5dbc586f78b3d3ebf9ecb625c0848c2f4046ecdcf83532668136cbe65a0c,0,2010-02-04 03:09:49,5000000000,0.5,1AjZULVPuSotU6Le6nynpDdonGvmsCtKYe,pubkey,4104d36c33541e2f248c79ab482939d6c92aa3cdea03ded40557d06287a585897ed36b64fc095f033751bbceeb2835282f4055708ee43cd384baf66d74e379b925b0ac,1,1
38117,c5d9d277888ce21dcd9b9a961d340ced832d3b2e4fda06e9438974dd9e0f0cc7,0,2010-02-04 03:23:41,5000000000,0.5,1NotwpD5tWhYakrMPZtZ3TVUdxDg5sBfpN,pubkey,410401a0cd6c0472b010cf28004a1022a6439f5e87d8f88ac22ca09fdec40eab08ac89081e5fcf7f773e59080125b8f9fb26939221b5f687cbfd0f00bb85802a2cf5ac,1,1
